category,strategy,cagr,sharpe,sortino,max_drawdown,calmar,ann_vol,win_rate,total_return,trades_per_month,crisis_non_negative_count,crisis_avg_sharpe,priority
Cat R: Regime Hardening,R5-RatesTighteningAlpha,0.0885,0.62,0.88,-0.3041,0.29,0.1571,0.414,4.965,6.3,3,0.058333,watch_and_rework
Cat D: Crash-Hedge (General),D1-FourStateTactical,0.1026,0.63,0.89,-0.323,0.32,0.1798,0.4283,6.8217,13.1,2,-0.018333,watch_and_rework
Cat M: Macro,M9-YieldCurveRegime,0.1027,0.65,0.92,-0.3503,0.29,0.175,0.4287,6.8387,11.6,5,0.155,optimize_winner
Cat DL: Deep Learning,DL2-LSTMRegimeDetector,0.109,0.66,0.94,-0.3555,0.31,0.1803,0.4089,7.8311,12.4,3,0.333333,watch_and_rework
Cat M: Macro,M2-GoldDollarInverse,0.112,0.68,1.01,-0.3383,0.33,0.1789,0.4045,8.3595,13.1,5,0.768333,optimize_winner
Cat N: Seasonal,N3-PreHolidayDrift,0.0717,0.68,1.0,-0.2737,0.26,0.1115,0.5126,3.3019,2.0,2,-0.056667,watch_and_rework
Cat L: Volatility,L8-VolRegimeClustering,0.1139,0.7,1.01,-0.3304,0.34,0.175,0.4238,8.6894,12.7,3,0.106667,watch_and_rework
Cat M: Macro,M1-DollarCarry,0.1027,0.7,1.01,-0.307,0.33,0.1569,0.4192,6.8312,8.7,3,0.263333,watch_and_rework
Cat MF: Multi-Frequency,MF1-WeeklyMomentumRotation,0.1247,0.7,1.01,-0.2748,0.45,0.1933,0.4151,10.8781,14.5,3,0.131667,watch_and_rework
Cat R: Regime Hardening,R1-BearMarketAlpha,0.1068,0.7,0.98,-0.335,0.32,0.1655,0.4333,7.4763,11.6,2,-0.016667,watch_and_rework
Cat MF: Multi-Frequency,MF3-MultiTimeframeTrend,0.108,0.71,1.01,-0.3117,0.35,0.1641,0.4354,7.6698,13.7,2,0.18,watch_and_rework
Cat G: Fundamental/Sentiment,G4-SentimentEnhancedRegime,0.1149,0.72,1.03,-0.2495,0.46,0.1708,0.4341,8.8746,13.4,3,0.148333,watch_and_rework
Cat Q: Quality Trend,Q2-MultiAssetTrend,0.1232,0.74,1.05,-0.3552,0.35,0.1797,0.4323,10.5516,17.7,3,0.245,watch_and_rework
Cat M: Macro,M10-MacroSignalScoreboard,0.0927,0.75,1.1,-0.2425,0.38,0.1296,0.4266,5.4737,3.7,5,0.54,optimize_winner
Cat P: ML Signal Combo,P4-AdaptiveThreshold,0.1341,0.75,1.07,-0.3203,0.42,0.1909,0.4288,13.1471,13.9,3,0.198333,watch_and_rework
Cat G: Fundamental/Sentiment,G5-CryptoSentimentDivergence,0.1163,0.76,1.1,-0.2943,0.4,0.1608,0.4416,9.1451,6.2,2,0.188333,watch_and_rework
Cat K: Factor,K2-MultiFactorComposite,0.131,0.77,1.1,-0.2976,0.44,0.1806,0.4247,12.3539,16.2,3,0.146667,watch_and_rework
Cat G: Fundamental/Sentiment,G3-SentimentDivergence,0.1349,0.78,1.12,-0.3152,0.43,0.1835,0.4331,13.3626,15.5,3,0.053333,watch_and_rework
